page_id,title,fullurl,categories
83705, Cimmeriac, https://warhammer40k.fandom.com/wiki/Cimmeriac ,"[""C"", ""Races""]"
84178, Drugh, https://warhammer40k.fandom.com/wiki/Drugh ,"[""D"", ""Races""]"
2207, Feth, https://warhammer40k.fandom.com/wiki/Feth ,"[""F"", ""Imperium""]"
88886, Robert Earl, https://warhammer40k.fandom.com/wiki/Robert_Earl ,"[""R"", ""E"", ""Authors""]"
2265, Jervis Johnson, https://warhammer40k.fandom.com/wiki/Jervis_Johnson ,"[""J"", ""Authors""]"
28640, Kommando, https://warhammer40k.fandom.com/wiki/Kommando ,"[""K"", ""Ork"", ""Ork Boyz""]"
84040, Vox-caster, https://warhammer40k.fandom.com/wiki/Nuncio_Vox ,"[""V"", ""Imperial Technology""]"
81641, Precipice, https://warhammer40k.fandom.com/wiki/Precipice ,"[""P"", ""Galaxy"", ""Imperium""]"
2028, Ravener, https://warhammer40k.fandom.com/wiki/Ravener ,"[""R"", ""Tyranid"", ""Tyranid Units""]"
85324, Rangda, https://warhammer40k.fandom.com/wiki/Rangda ,"[""R"", ""Races""]"
81187, Recaf, https://warhammer40k.fandom.com/wiki/Recaf ,"[""R"", ""Imperial Technology"", ""Imperium"", ""Drugs""]"
80675, Sardonites, https://warhammer40k.fandom.com/wiki/Sardonites ,"[""S"", ""Races""]"
78750, Slitherine Legion, https://warhammer40k.fandom.com/wiki/Slitherine_Legion ,"[""S"", ""Chaos"", ""Daemons""]"
89903, Theyn, https://warhammer40k.fandom.com/wiki/Theyn ,"[""T"", ""Leagues of Votann"", ""Titles"", ""Squats""]"
83704, Vassalians, https://warhammer40k.fandom.com/wiki/Vassalians ,"[""V"", ""Races""]"
66101, Void Kraken, https://warhammer40k.fandom.com/wiki/Void_Kraken ,"[""V"", ""Koronus Expanse"", ""Races""]"
90251, Volkite Eradicator, https://warhammer40k.fandom.com/wiki/Volkite_Eradicator ,"[""V"", ""Adeptus Mechanicus"", ""Chaos"", ""Chaos Technology"", ""Chaos Weapons"", ""Collegia Titanica"", ""Imperial Technology"", ""Imperial weapons"", ""Imperium"", ""Traitor Titan Legions"", ""Weapons""]"
90303, Volkanite Disintegrator, https://warhammer40k.fandom.com/wiki/Volkanite_Disintegrator ,"[""V"", ""Leagues of Votann"", ""Leagues of Votann Technology"", ""Leagues of Votann Weapons"", ""Squats"", ""Weapons""]"
90372, Von Ryan's Leaper, https://warhammer40k.fandom.com/wiki/Von_Ryan%27s_Leaper ,"[""V"", ""Tyranid"", ""Tyranid Units""]"
90537, Voltagheist Field, https://warhammer40k.fandom.com/wiki/Voltagheist_Field ,"[""V"", ""Adeptus Mechanicus"", ""Imperial Technology"", ""Imperium""]"
90679, Vorotheion, https://warhammer40k.fandom.com/wiki/Vorotheion ,"[""V"", ""Chalnath Expanse"", ""Genestealer Cult"", ""Hive World"", ""Imperium"", ""Planets"", ""Segmentum Ultima"", ""Tau"", ""Tau Empire"", ""War World""]"
90781, Vivispectrum, https://warhammer40k.fandom.com/wiki/Vivispectrum ,"[""V"", ""Imperial Technology"", ""Imperium"", ""Primaris Space Marines"", ""Space Marines"", ""Space Marine Equipment""]"
90912, Vilnus, https://warhammer40k.fandom.com/wiki/Vilnus ,"[""V"", ""Characters"", ""Deathwatch"", ""Imperial Characters"", ""Imperium"", ""Space Marines""]"
2945, Warmaster, https://warhammer40k.fandom.com/wiki/Warmaster ,"[""W"", ""Chaos"", ""Chaos Space Marines"", ""Imperial Guard"", ""Imperium"", ""Space Marines"", ""Titles""]"
3029," Warhammer 40,000: Apocalypse"," https://warhammer40k.fandom.com/wiki/Warhammer_40,000:_Apocalypse ","[""Games Workshop"", ""A""]"
3281, Warsphere, https://warhammer40k.fandom.com/wiki/Warsphere ,"[""W"", ""Battleships"", ""Koronus Expanse"", ""Kroot"", ""Spacecraft"", ""Tau"", ""Tau Empire"", ""Tau Technology"", ""Tau Spacecraft""]"
3282, Warp-Drive, https://warhammer40k.fandom.com/wiki/Warp-Drive ,"[""W"", ""Imperial Technology"", ""Imperium"", ""Leagues of Votann"", ""Leagues of Votann Technology"", ""Squats""]"
3890, Warp Ghosts, https://warhammer40k.fandom.com/wiki/Warp_Ghosts ,"[""W"", ""Chaos"", ""Chaos Space Marine Legions"", ""Chaos Space Marines"", ""Renegade Space Marine Chapters"", ""Unknown Founding""]"
4669, Warp spider, https://warhammer40k.fandom.com/wiki/Warp_spider ,"[""W"", ""Aeldari"", ""Asuryani"", ""Eldar"", ""Eldar Technology"", ""Races""]"
5154, Warlock, https://warhammer40k.fandom.com/wiki/Warlock ,"[""W"", ""Aeldari"", ""Asuryani"", ""Eldar""]"
25286, War Council, https://warhammer40k.fandom.com/wiki/War_Council ,"[""W"", ""Adepts"", ""History"", ""Imperium"", ""Imperial History""]"
25672, Warrior Lodge, https://warhammer40k.fandom.com/wiki/Warrior_Lodge ,"[""W"", ""Chaos"", ""Chaos Space Marines"", ""History"", ""Imperium"", ""Imperial History"", ""Space Marines""]"
