pageid,title,fullurl
40,Abaddon the Despoiler,https://warhammer40k.fandom.com/wiki/Abaddon_the_Despoiler
44,Adeptus Mechanicus,https://warhammer40k.fandom.com/wiki/Adeptus_Mechanicus
48,Adeptus Astartes,https://warhammer40k.fandom.com/wiki/Adeptus_Astartes
165,Adepta Sororitas,https://warhammer40k.fandom.com/wiki/Adepta_Sororitas
202,Abhuman,https://warhammer40k.fandom.com/wiki/Abhuman
247,Adeptus Ministorum,https://warhammer40k.fandom.com/wiki/Adeptus_Ministorum
1849,Adeptus Arbites,https://warhammer40k.fandom.com/wiki/Adeptus_Arbites
1860,Abaddon,https://warhammer40k.fandom.com/wiki/Abaddon
1997,13th Black Crusade (Original),https://warhammer40k.fandom.com/wiki/13th_Black_Crusade_(Original)
2568,Adepts,https://warhammer40k.fandom.com/wiki/Adepts
2659,Adeptus Administratum,https://warhammer40k.fandom.com/wiki/Adeptus_Administratum
2662,Adeptus Terra,https://warhammer40k.fandom.com/wiki/Adeptus_Terra
2664,7th Cadian,https://warhammer40k.fandom.com/wiki/7th_Cadian
2665,8th Cadian,https://warhammer40k.fandom.com/wiki/8th_Cadian
2666,39th Cadian,https://warhammer40k.fandom.com/wiki/39th_Cadian
2667,110th Cadian,https://warhammer40k.fandom.com/wiki/110th_Cadian
2668,122nd Cadian,https://warhammer40k.fandom.com/wiki/122nd_Cadian
2669,412th Cadian,https://warhammer40k.fandom.com/wiki/412th_Cadian
2670,417th Cadian,https://warhammer40k.fandom.com/wiki/417th_Cadian
2700,Adeptus Custodes,https://warhammer40k.fandom.com/wiki/Adeptus_Custodes
2860,Acreage,https://warhammer40k.fandom.com/wiki/Acreage
3327,Adamantium,https://warhammer40k.fandom.com/wiki/Adamantium
4012,Accatran,https://warhammer40k.fandom.com/wiki/Accatran
4020,21st Founding,https://warhammer40k.fandom.com/wiki/21st_Founding
4194,Adeptus Sororitas,https://warhammer40k.fandom.com/wiki/Adeptus_Sororitas
5787,13th Penal Legion (Last Chancers),https://warhammer40k.fandom.com/wiki/13th_Penal_Legion_(Last_Chancers)
7211,85th Vendoland,https://warhammer40k.fandom.com/wiki/85th_Vendoland
7368,Adeptus Astra Telepathica,https://warhammer40k.fandom.com/wiki/Adeptus_Astra_Telepathica
7369,Adeptus Astronomica,https://warhammer40k.fandom.com/wiki/Adeptus_Astronomica
9285,63rd Expeditionary Fleet,https://warhammer40k.fandom.com/wiki/63rd_Expeditionary_Fleet
9560,Acheron-class Heavy Cruiser,https://warhammer40k.fandom.com/wiki/Acheron-class_Heavy_Cruiser
9576,"""Lost"" Legions & Primarchs",https://warhammer40k.fandom.com/wiki/%22Lost%22_Legions_%26_Primarchs
9839,88th Siege Army,https://warhammer40k.fandom.com/wiki/88th_Siege_Army
12100,Adeptus Munitorum,https://warhammer40k.fandom.com/wiki/Adeptus_Munitorum
13732,12th Black Crusade,https://warhammer40k.fandom.com/wiki/12th_Black_Crusade
14064,3rd Founding,https://warhammer40k.fandom.com/wiki/3rd_Founding
14065,13th Founding,https://warhammer40k.fandom.com/wiki/13th_Founding
14067,23rd Founding,https://warhammer40k.fandom.com/wiki/23rd_Founding
14074,10th Founding,https://warhammer40k.fandom.com/wiki/10th_Founding
14077,19th Founding,https://warhammer40k.fandom.com/wiki/19th_Founding
16481,Absolvers,https://warhammer40k.fandom.com/wiki/Absolvers
16742,1st Claw (Night Lords),https://warhammer40k.fandom.com/wiki/1st_Claw_(Night_Lords)
18542,A Thousand Sons,https://warhammer40k.fandom.com/wiki/A_Thousand_Sons
19048,Abyssal Crusade,https://warhammer40k.fandom.com/wiki/Abyssal_Crusade
19086,9th Black Crusade,https://warhammer40k.fandom.com/wiki/9th_Black_Crusade
19125,7th Black Crusade,https://warhammer40k.fandom.com/wiki/7th_Black_Crusade
19190,8th Founding,https://warhammer40k.fandom.com/wiki/8th_Founding
19191,25th Founding,https://warhammer40k.fandom.com/wiki/25th_Founding
